problem,search.method,plan.length,metric.search,initial.heuristic.val,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,dead.ends,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events,type
instance--8,hmax,533,86.0,5,3704334,3296442,3582743,120593,21950670,25240734,31533457,0,sokoban,284,0,436,0,0,discrete
instance--8,hrmax,533,86.0,5,3636978,3227541,3516120,120005,21950670,25240734,31533457,0,sokoban,284,0,436,0,0,discrete
instance--5,hmax,433,76.0,5,111584,28802,31587,79277,219022,264828,329855,0,sokoban,228,0,362,0,0,discrete
instance--10,hmax,320,62.0,9,422434,8483,9625,412173,78872,84167,117791,0,sokoban,268,0,418,0,0,discrete
instance--2,hmax,241,60.0,7,272119,827,1004,270487,8977,9747,13292,0,sokoban,188,0,272,0,0,discrete
instance--3,hmax,235,49.0,3,60069,3659,4368,54827,18327,25743,22452,0,sokoban,315,0,528,0,0,discrete
instance--4,hmax,289,43.0,7,78028,1447,1746,75537,6215,7881,9060,0,sokoban,243,0,416,0,0,discrete
instance--6,hmax,330,80.0,8,155799,32353,34625,120509,176643,200479,279785,0,sokoban,232,0,378,0,0,discrete
instance--1,hrmax,257,76.0,7,91371,10670,11710,78867,56843,66808,78058,0,sokoban,283,0,442,0,0,discrete
instance--2,hmrp,223,56.0,17,275379,1067,1238,273487,9418,10054,14201,0,sokoban,188,0,272,0,0,discrete
instance--1,hmrp,213,74.0,16,96625,14424,15693,80003,68347,80355,94774,0,sokoban,283,0,442,0,0,discrete
instance--3,hrmax,235,49.0,3,60067,3697,4358,54148,18327,25743,22452,0,sokoban,315,0,528,0,0,discrete
instance--7,hmax,168,41.0,8,37032,719,876,34831,3219,4395,4491,0,sokoban,173,0,312,0,0,discrete
instance--5,hmrp,385,82.0,15,91087,8451,9449,80527,58738,68543,88497,0,sokoban,228,0,362,0,0,discrete
instance--6,hrmax,330,80.0,8,150776,31659,33871,116053,176643,200479,279785,0,sokoban,232,0,378,0,0,discrete
p06,hrmax,77,14.0,3,64390,835,989,62663,1400,3139,4025,0,ma-sokoban,242,0,632,0,0,discrete
p07,hmax,132,23.0,5,31327,3226,3589,26284,17011,22008,60780,0,ma-sokoban,183,0,420,0,0,discrete
p05,hmrp,62,14.0,11,116535,11778,13152,102098,48585,71511,249734,0,ma-sokoban,192,0,648,0,0,discrete
p03,hmrp,11,5.0,2,7781,66,111,7051,63,182,110,0,ma-sokoban,105,0,264,0,0,discrete
p09,hrmax,3693,45.0,10,31521235,28595047,31355610,164598,67614404,90690222,375397364,0,ma-sokoban,312,0,996,0,0,discrete
p04,hmax,211,31.0,4,95825,43107,45527,49470,65059,132058,350355,0,ma-sokoban,244,0,906,0,0,discrete
p01,hrmax,51,11.0,6,7700,111,166,6782,207,492,553,0,ma-sokoban,91,0,204,0,0,discrete
p05,hmax,176,14.0,4,104567,7226,7891,95819,18834,34805,93054,0,ma-sokoban,192,0,648,0,0,discrete
p03,hmax,46,7.0,2,8864,337,424,7617,1063,2126,2930,0,ma-sokoban,105,0,264,0,0,discrete
p01,hmax,51,11.0,6,6788,100,180,5971,207,492,553,0,ma-sokoban,91,0,204,0,0,discrete
p06,hmrp,37,12.0,10,64898,229,302,63554,175,523,368,0,ma-sokoban,242,0,632,0,0,discrete
p02,hmax,235,33.0,9,30312,2829,3172,25942,11058,17094,38552,0,ma-sokoban,162,0,404,0,0,discrete
p04,hrmax,211,31.0,4,98438,43344,45840,51214,65059,132058,350355,0,ma-sokoban,244,0,906,0,0,discrete
p02,hrmax,235,33.0,9,30417,2857,3255,26261,11058,17094,38552,0,ma-sokoban,162,0,404,0,0,discrete
p09,hmax,3693,45.0,10,31540399,28764488,31387862,151531,67614404,90690222,375397364,0,ma-sokoban,312,0,996,0,0,discrete
p01,hmrp,48,11.0,10,7208,164,245,6194,198,532,455,0,ma-sokoban,91,0,204,0,0,discrete
p09,hmrp,318,35.0,36,3434408,2979551,3288257,145133,7047689,9988496,38750366,0,ma-sokoban,312,0,996,0,0,discrete
p08,hmax,219,34.0,7,293365,11553,12617,279864,43904,57340,159701,0,ma-sokoban,230,0,544,0,0,discrete
p04,hmrp,106,27.0,15,421029,351263,372548,47622,580952,1003179,3294303,0,ma-sokoban,244,0,906,0,0,discrete
p02,hmrp,126,29.0,29,26996,380,534,25775,659,1372,1814,0,ma-sokoban,162,0,404,0,0,discrete
p08,hrmax,219,34.0,7,340045,13811,15168,324159,43904,57340,159701,0,ma-sokoban,230,0,544,0,0,discrete
p03,hrmax,46,7.0,2,8386,285,379,7259,1063,2126,2930,0,ma-sokoban,105,0,264,0,0,discrete
p06,hmax,77,14.0,3,79646,636,722,78308,1400,3139,4025,0,ma-sokoban,242,0,632,0,0,discrete
p05,hrmax,176,14.0,4,108612,7255,8014,99687,18834,34805,93054,0,ma-sokoban,192,0,648,0,0,discrete
p08,hmrp,285,36.0,19,423209,50682,56042,366505,203059,234083,822057,0,ma-sokoban,230,0,544,0,0,discrete
p07,hrmax,132,23.0,5,29093,3228,3641,24772,17011,22008,60780,0,ma-sokoban,183,0,420,0,0,discrete
p07,hmrp,130,21.0,13,27449,577,678,25281,1180,2096,3653,0,ma-sokoban,183,0,420,0,0,discrete
instance--5,hrmax,10,10.0,4,530,33,62,27,49,107,57,0,blocksworld,41,0,60,0,0,discrete
instance--18,hrmax,70,70.0,9,1672,835,1127,25,1492,6639,2212,0,blocksworld,109,0,180,0,0,discrete
instance--4,hrmax,14,14.0,5,618,58,113,22,75,157,83,0,blocksworld,41,0,60,0,0,discrete
instance--24,hrmax,58,58.0,9,2902,1939,2245,43,2171,13153,3286,0,blocksworld,155,0,264,0,0,discrete
instance--13,hmrp,58,58.0,13,1056,388,498,37,406,776,485,0,blocksworld,89,0,144,0,0,discrete
instance--25,hmax,46,46.0,10,5180,4251,4457,41,3718,25743,5618,0,blocksworld,181,0,312,0,0,discrete
instance--4,hmrp,12,12.0,8,575,41,73,23,16,24,14,0,blocksworld,41,0,60,0,0,discrete
instance--3,hmrp,6,6.0,6,504,8,25,31,11,18,9,0,blocksworld,29,0,40,0,0,discrete
instance--6,hmrp,24,24.0,9,518,15,49,22,37,57,38,0,blocksworld,41,0,60,0,0,discrete
instance--14,hmrp,48,48.0,13,709,121,188,42,135,281,145,0,blocksworld,89,0,144,0,0,discrete
instance--9,hrmax,22,22.0,7,807,66,99,30,167,466,203,0,blocksworld,55,0,84,0,0,discrete
