problem,search.method,plan.length,metric.search,planning.time.msec,heuristic.time.msec,search.time.msec,grounding.time,expanded.nodes,states.evaluated,duplicates.detected,domain,grounded.fluents,grounded.external.actions,grounded.actions,grounded.predicates,grounded.events
p8,sat-hmrphj,1680,0.0,41062,39315,40138,65,3360,194701,1679,discrete,653,0,653,0,0
p5,sat-haddabs,1373,0.0,5226,4408,4638,54,2747,72003,42412,discrete,423,0,423,0,0
p8,lm_opt,2084,0.0,21054,19454,20097,63,4169,193594,99857,discrete,653,0,653,0,0
p0,aibr,218,0.0,241,36,46,22,437,1590,1319,discrete,67,0,67,0,0
p0,sat-hadd,218,0.0,242,34,45,24,437,1590,1319,discrete,67,0,67,0,0
p7,sat-hmrp,1815,0.0,27326,25901,26509,60,3631,153531,74054,discrete,557,0,557,0,0
p8,aibr,2084,0.0,21273,19652,20306,65,4169,193594,99857,discrete,653,0,653,0,0
p7,aibr,1815,0.0,13809,12369,12939,62,3631,153531,74054,discrete,557,0,557,0,0
p7,lm_opt,1815,0.0,13870,12452,12937,62,3631,153531,74054,discrete,557,0,557,0,0
p7,sat-haddabs,1815,0.0,13377,12050,12547,61,3631,153531,74054,discrete,557,0,557,0,0
p1,opt-hmax,446,0.0,396,123,147,29,893,5280,6529,discrete,135,0,135,0,0
p9,opt,2297,0.0,23760,21824,22654,65,4595,197236,124119,discrete,706,0,706,0,0
p7,opt-hmax,1815,0.0,13931,12590,13110,61,3631,153531,74054,discrete,557,0,557,0,0
p3,opt-hrmax,923,0.0,1843,1302,1388,56,1846,33039,20785,discrete,283,0,283,0,0
p2,lm_opt,674,0.0,761,384,435,52,1349,12354,14923,discrete,203,0,203,0,0
p7,opt,1815,0.0,13844,12428,12970,62,3631,153531,74054,discrete,557,0,557,0,0
p1,sas,446,0.0,392,116,144,29,893,5280,6529,discrete,135,0,135,0,0
p5,aibr,1373,0.0,5276,4429,4683,54,2747,72003,42412,discrete,423,0,423,0,0
p1,sat-haddabs,446,0.0,391,122,142,29,893,5280,6529,discrete,135,0,135,0,0
p5,sas,1373,0.0,5335,4505,4731,57,2747,72003,42412,discrete,423,0,423,0,0
p9,sat-hmrphj,1862,0.0,52051,49896,50952,67,3724,223383,1861,discrete,706,0,706,0,0
p3,opt,923,0.0,1818,1279,1380,58,1846,33039,20785,discrete,283,0,283,0,0
p2,opt-hrmax,674,0.0,774,389,443,52,1349,12354,14923,discrete,203,0,203,0,0
p9,lm_opt,2297,0.0,23683,21725,22585,67,4595,197236,124119,discrete,706,0,706,0,0
p6,sat-hmrphj,1305,0.0,17907,16615,17101,60,2610,112861,1304,discrete,486,0,487,0,0
p1,opt-hrmax,446,0.0,398,122,147,28,893,5280,6529,discrete,135,0,135,0,0
p2,aibr,674,0.0,759,385,432,52,1349,12354,14923,discrete,203,0,203,0,0
p0,opt-hrmax,218,0.0,246,35,47,23,437,1590,1319,discrete,67,0,67,0,0
p6,sat-hadd,1595,0.0,8558,7395,7789,72,3191,107501,57376,discrete,486,0,487,0,0
p1,sat-hmrp,446,0.0,521,247,271,30,893,5280,6529,discrete,135,0,135,0,0
p3,sat-hmrphj,746,0.0,3529,2933,3077,57,1492,36651,745,discrete,283,0,283,0,0
p9,sat-haddabs,2297,0.0,23746,21749,22643,67,4595,197236,124119,discrete,706,0,706,0,0
p3,sat-haddabs,923,0.0,1789,1260,1371,40,1846,33039,20785,discrete,283,0,283,0,0
p8,sat-hadd,2084,0.0,21004,19388,20039,63,4169,193594,99857,discrete,653,0,653,0,0
p2,sat-hmrp,674,0.0,1157,771,828,51,1349,12354,14923,discrete,203,0,203,0,0
p5,sat-hadd,1373,0.0,5085,4237,4485,57,2747,72003,42412,discrete,423,0,423,0,0
p6,opt-hrmax,1595,0.0,8916,7787,8202,61,3191,107501,57376,discrete,486,0,487,0,0
p7,opt-hrmax,1815,0.0,14028,12629,13210,60,3631,153531,74054,discrete,557,0,557,0,0
p3,aibr,923,0.0,1945,1328,1420,57,1846,33039,20785,discrete,283,0,283,0,0
p2,sas,674,0.0,761,386,432,53,1349,12354,14923,discrete,203,0,203,0,0
p4,opt-hrmax,1166,0.0,4479,3686,3888,61,2333,65039,29550,discrete,383,0,385,0,0
p4,opt,1166,0.0,4329,3607,3804,61,2333,65039,29550,discrete,383,0,385,0,0
p9,opt-hmax,2297,0.0,24131,22121,23021,67,4595,197236,124119,discrete,706,0,706,0,0
p4,opt-hmax,1166,0.0,4472,3682,3891,62,2333,65039,29550,discrete,383,0,385,0,0
p4,aibr,1166,0.0,4350,3632,3817,61,2333,65039,29550,discrete,383,0,385,0,0
p0,opt,218,0.0,245,31,47,24,437,1590,1319,discrete,67,0,67,0,0
p5,opt-hrmax,1373,0.0,5310,4475,4711,60,2747,72003,42412,discrete,423,0,423,0,0
p6,sas,1595,0.0,8761,7650,8043,75,3191,107501,57376,discrete,486,0,487,0,0
p6,lm_opt,1595,0.0,8799,7624,8068,76,3191,107501,57376,discrete,486,0,487,0,0
instance-6,sat-haddabs,20,20.0,122,6,13,8,33,72,33,blocksworld,41,0,60,0,0
instance-8,sat-hradd,14,14.0,125,1,12,9,20,52,18,blocksworld,55,0,84,0,0
instance-7,opt,32,32.0,136,11,20,8,75,156,85,blocksworld,55,0,84,0,0
instance-1,sas,10,10.0,114,1,7,7,13,22,12,blocksworld,29,0,40,0,0
instance-2,aibr,10,10.0,114,1,8,6,14,20,12,blocksworld,29,0,40,0,0
instance-9,sat-hradd,28,28.0,129,8,16,6,51,105,54,blocksworld,55,0,84,0,0
